threshold,false_positive_rate,true_positive_rate,youden_j,cumulative_risky,cumulative_favorable,ks_gap,population_share
0.9527694582939148,0.000445632798573975,0.1520501138952164,0.1516044810966424,0.1520501138952164,0.000445632798573975,0.1516044810966424,0.067
0.9527120590209961,0.000445632798573975,0.15261958997722094,0.15217395717864696,0.15261958997722094,0.000445632798573975,0.15217395717864696,0.06725
0.9525694847106934,0.000445632798573975,0.15318906605922553,0.15274343326065154,0.15318906605922553,0.000445632798573975,0.15274343326065154,0.0675
0.9523957967758179,0.000445632798573975,0.1571753986332574,0.15672976583468343,0.1571753986332574,0.000445632798573975,0.15672976583468343,0.06925
0.9523482322692871,0.000445632798573975,0.15774487471526197,0.15729924191668798,0.15774487471526197,0.000445632798573975,0.15729924191668798,0.0695
0.9522169828414917,0.000445632798573975,0.15831435079726652,0.15786871799869254,0.15831435079726652,0.000445632798573975,0.15786871799869254,0.06975
0.9516443610191345,0.000445632798573975,0.15888382687927108,0.1584381940806971,0.15888382687927108,0.000445632798573975,0.1584381940806971,0.07
0.950921356678009,0.000445632798573975,0.15945330296127563,0.15900767016270165,0.15945330296127563,0.000445632798573975,0.15900767016270165,0.07025
0.9507842659950256,0.000445632798573975,0.1600227790432802,0.1595771462447062,0.1600227790432802,0.000445632798573975,0.1595771462447062,0.0705
0.9507499933242798,0.000445632798573975,0.16059225512528474,0.16014662232671076,0.16059225512528474,0.000445632798573975,0.16014662232671076,0.07075
0.9505645036697388,0.000445632798573975,0.16173120728929385,0.16128557449071987,0.16173120728929385,0.000445632798573975,0.16128557449071987,0.07125
0.9505169987678528,0.000445632798573975,0.1623006833712984,0.16185505057272442,0.1623006833712984,0.000445632798573975,0.16185505057272442,0.0715
0.9502779245376587,0.000445632798573975,0.16287015945330297,0.16242452665472898,0.16287015945330297,0.000445632798573975,0.16242452665472898,0.07175
0.9501144289970398,0.000445632798573975,0.16343963553530752,0.16299400273673353,0.16343963553530752,0.000445632798573975,0.16299400273673353,0.072
0.9499698281288147,0.000445632798573975,0.16400911161731208,0.1635634788187381,0.16400911161731208,0.000445632798573975,0.1635634788187381,0.07225
0.9495126605033875,0.000445632798573975,0.16457858769931663,0.16413295490074264,0.16457858769931663,0.000445632798573975,0.16413295490074264,0.0725
0.9495116472244263,0.000445632798573975,0.1674259681093394,0.16698033531076542,0.1674259681093394,0.000445632798573975,0.16698033531076542,0.07375
0.948922872543335,0.000445632798573975,0.16799544419134396,0.16754981139276998,0.16799544419134396,0.000445632798573975,0.16754981139276998,0.074
0.9488128423690796,0.000445632798573975,0.16856492027334852,0.16811928747477453,0.16856492027334852,0.000445632798573975,0.16811928747477453,0.07425
0.9484714865684509,0.000445632798573975,0.16913439635535307,0.1686887635567791,0.16913439635535307,0.000445632798573975,0.1686887635567791,0.0745
0.9483599662780762,0.000445632798573975,0.17198177676537585,0.17153614396680186,0.17198177676537585,0.000445632798573975,0.17153614396680186,0.07575
0.948291003704071,0.000445632798573975,0.1725512528473804,0.17210562004880642,0.1725512528473804,0.000445632798573975,0.17210562004880642,0.076
0.9478179812431335,0.000445632798573975,0.17482915717539863,0.17438352437682464,0.17482915717539863,0.000445632798573975,0.17438352437682464,0.077
0.9477624893188477,0.000445632798573975,0.17539863325740318,0.1749530004588292,0.17539863325740318,0.000445632798573975,0.1749530004588292,0.07725
0.9477195739746094,0.000445632798573975,0.17596810933940774,0.17552247654083375,0.17596810933940774,0.000445632798573975,0.17552247654083375,0.0775
0.947684109210968,0.000445632798573975,0.17710706150341685,0.17666142870484286,0.17710706150341685,0.000445632798573975,0.17666142870484286,0.078
0.9475447535514832,0.000445632798573975,0.1776765375854214,0.17723090478684742,0.1776765375854214,0.000445632798573975,0.17723090478684742,0.07825
0.9475277066230774,0.000445632798573975,0.17824601366742596,0.17780038086885197,0.17824601366742596,0.000445632798573975,0.17780038086885197,0.0785
0.9474349617958069,0.000445632798573975,0.17995444191343962,0.17950880911486564,0.17995444191343962,0.000445632798573975,0.17950880911486564,0.07925
0.947235643863678,0.000445632798573975,0.18337129840546698,0.182925665606893,0.18337129840546698,0.000445632798573975,0.182925665606893,0.08075
0.9472033381462097,0.000445632798573975,0.18394077448747154,0.18349514168889755,0.18394077448747154,0.000445632798573975,0.18349514168889755,0.081
0.9471200108528137,0.000445632798573975,0.1845102505694761,0.1840646177709021,0.1845102505694761,0.000445632798573975,0.1840646177709021,0.08125
0.9470306634902954,0.000445632798573975,0.18507972665148065,0.18463409385290666,0.18507972665148065,0.000445632798573975,0.18463409385290666,0.0815
0.9470230340957642,0.000445632798573975,0.18735763097949887,0.18691199818092488,0.18735763097949887,0.000445632798573975,0.18691199818092488,0.0825
0.9467564821243286,0.000445632798573975,0.18792710706150342,0.18748147426292944,0.18792710706150342,0.000445632798573975,0.18748147426292944,0.08275
0.9465606808662415,0.000445632798573975,0.18849658314350798,0.188050950344934,0.18849658314350798,0.000445632798573975,0.188050950344934,0.083
0.9465027451515198,0.000445632798573975,0.18906605922551253,0.18862042642693855,0.18906605922551253,0.000445632798573975,0.18862042642693855,0.08325
0.9461912512779236,0.000445632798573975,0.1896355353075171,0.1891899025089431,0.1896355353075171,0.000445632798573975,0.1891899025089431,0.0835
0.9458591341972351,0.000445632798573975,0.1919134396355353,0.19146780683696132,0.1919134396355353,0.000445632798573975,0.19146780683696132,0.0845
0.9456296563148499,0.000445632798573975,0.19248291571753987,0.19203728291896588,0.19248291571753987,0.000445632798573975,0.19203728291896588,0.08475
0.9456003308296204,0.000445632798573975,0.19305239179954442,0.19260675900097043,0.19305239179954442,0.000445632798573975,0.19260675900097043,0.085
0.9455106258392334,0.000445632798573975,0.19362186788154898,0.193176235082975,0.19362186788154898,0.000445632798573975,0.193176235082975,0.08525
0.9454838633537292,0.000445632798573975,0.19419134396355353,0.19374571116497954,0.19419134396355353,0.000445632798573975,0.19374571116497954,0.0855
0.9453973174095154,0.000445632798573975,0.1947608200455581,0.1943151872469841,0.1947608200455581,0.000445632798573975,0.1943151872469841,0.08575
0.9453936219215393,0.000445632798573975,0.19817767653758542,0.19773204373901143,0.19817767653758542,0.000445632798573975,0.19773204373901143,0.08725
0.9449324011802673,0.00089126559714795,0.19931662870159453,0.19842536310444658,0.19931662870159453,0.00089126559714795,0.19842536310444658,0.088
0.9448962807655334,0.00089126559714795,0.19988610478359908,0.19899483918645114,0.19988610478359908,0.00089126559714795,0.19899483918645114,0.08825
0.944870114326477,0.00089126559714795,0.2010250569476082,0.20013379135046025,0.2010250569476082,0.00089126559714795,0.20013379135046025,0.08875
0.94486004114151,0.00089126559714795,0.20159453302961275,0.2007032674324648,0.20159453302961275,0.00089126559714795,0.2007032674324648,0.089
0.9447961449623108,0.00089126559714795,0.2021640091116173,0.20127274351446936,0.2021640091116173,0.00089126559714795,0.20127274351446936,0.08925
0.9443458318710327,0.00089126559714795,0.20273348519362186,0.20184221959647392,0.20273348519362186,0.00089126559714795,0.20184221959647392,0.0895
0.9442243576049805,0.00089126559714795,0.20330296127562641,0.20241169567847847,0.20330296127562641,0.00089126559714795,0.20241169567847847,0.08975
