recall,precision
0.2215,0.9476437726218098
0.222,0.9475255870069605
0.2225,0.9474074013921114
0.223,0.9472892157772622
0.2235,0.947171030162413
0.224,0.9470528445475638
0.2245,0.9469346589327147
0.225,0.9468164733178654
0.2255,0.9466982877030162
0.226,0.9465801020881671
0.2265,0.9464619164733179
0.227,0.9463437308584687
0.2275,0.9462255452436195
0.228,0.9461073596287704
0.2285,0.9459891740139211
0.229,0.9458709883990719
0.2295,0.9457528027842228
0.23,0.9456346171693736
0.2305,0.9455164315545244
0.231,0.9453982459396753
0.2315,0.945280060324826
0.232,0.9451618747099768
0.2325,0.9450436890951276
0.233,0.9449255034802785
0.2335,0.9448073178654293
0.234,0.94468913225058
0.23450000000000001,0.9445709466357308
0.23500000000000001,0.9444527610208817
0.23550000000000001,0.9443345754060325
0.23600000000000002,0.9442163897911833
0.23650000000000002,0.9440982041763342
0.23700000000000002,0.943980018561485
0.23750000000000002,0.9438618329466357
0.23800000000000002,0.9437436473317866
0.23850000000000002,0.9436254617169374
0.23900000000000002,0.9435072761020882
0.23950000000000002,0.943389090487239
0.24,0.9432709048723898
0.2405,0.9431527192575406
0.241,0.9430345336426914
0.2415,0.9429163480278423
0.242,0.9427981624129931
0.2425,0.9426799767981439
0.243,0.9425617911832946
0.2435,0.9424436055684455
0.244,0.9423254199535963
0.2445,0.9422072343387471
0.245,0.942089048723898
0.2455,0.9419708631090488
0.246,0.9418526774941995
0.2465,0.9417344918793504
0.247,0.9416163062645012
0.2475,0.941498120649652
0.248,0.9413799350348028
0.2485,0.9412617494199537
0.249,0.9411435638051044
0.2495,0.9410253781902552
0.25,0.940907192575406
0.2505,0.9407890069605569
0.251,0.9406708213457077
0.2515,0.9405526357308585
0.252,0.9404344501160093
0.2525,0.9403162645011601
0.253,0.9401980788863109
0.2535,0.9400798932714618
0.254,0.9399617076566126
0.2545,0.9398435220417634
0.255,0.9397253364269141
0.2555,0.939607150812065
0.256,0.9394889651972158
0.2565,0.9393707795823666
0.257,0.9392525939675175
0.2575,0.9391344083526683
0.258,0.939016222737819
0.2585,0.9388980371229698
0.259,0.9387798515081207
0.2595,0.9386616658932715
0.26,0.9385434802784223
0.2605,0.9384252946635732
0.261,0.9383071090487239
0.2615,0.9381889234338747
0.262,0.9380707378190255
0.2625,0.9379525522041764
0.263,0.9378343665893272
0.2635,0.937716180974478
0.264,0.9375979953596288
0.2645,0.9374798097447796
0.265,0.9373616241299304
0.2655,0.9372434385150812
0.266,0.9371252529002321
0.2665,0.9370070672853829
0.267,0.9368888816705336
0.2675,0.9367706960556845
0.268,0.9366525104408353
0.2685,0.9365343248259861
0.269,0.936416139211137
0.2695,0.9362979535962878
0.27,0.9361797679814385
0.2705,0.9360615823665893
0.271,0.9359433967517402
0.2715,0.935825211136891
0.272,0.9357070255220418
0.2725,0.9355888399071925
0.273,0.9354706542923434
0.2735,0.9353524686774942
0.274,0.935234283062645
0.2745,0.9351160974477959
0.275,0.9349979118329467
0.2755,0.9348797262180975
0.276,0.9347615406032483
0.2765,0.9346433549883991
0.277,0.9345251693735499
0.2775,0.9344069837587007
0.278,0.9342887981438516
0.2785,0.9341706125290024
0.279,0.9340524269141531
0.2795,0.9339342412993039
0.28,0.9338160556844548
0.2805,0.9336978700696056
0.281,0.9335796844547564
0.28150000000000003,0.9334614988399073
0.28200000000000003,0.933343313225058
0.28250000000000003,0.9332251276102088
0.28300000000000003,0.9331069419953597
0.28350000000000003,0.9329887563805105
0.28400000000000003,0.9328705707656613
0.28450000000000003,0.932752385150812
0.28500000000000003,0.9326341995359629
0.28550000000000003,0.9325160139211137
0.28600000000000003,0.9323978283062645
0.28650000000000003,0.9322796426914153
0.28700000000000003,0.9321614570765662
0.28750000000000003,0.932043271461717
0.28800000000000003,0.9319250858468677
0.2885,0.9318069002320186
0.289,0.9316887146171694
0.2895,0.9315705290023202
0.29,0.9314523433874711
0.2905,0.9313341577726219
0.291,0.9312159721577726
0.2915,0.9310977865429235
0.292,0.9309796009280743
0.2925,0.9308614153132251
0.293,0.9307432296983759
0.2935,0.9306250440835268
0.294,0.9305068584686775
0.2945,0.9303886728538283
0.295,0.9302704872389791
0.2955,0.93015230162413
0.296,0.9300341160092808
0.2965,0.9299159303944315
0.297,0.9297977447795824
0.2975,0.9296795591647332
0.298,0.929561373549884
0.2985,0.9294431879350349
0.299,0.9293250023201857
0.2995,0.9292068167053364
0.3,0.9290886310904872
0.3005,0.9289704454756381
0.301,0.9288522598607889
0.3015,0.9287340742459397
